,meta,memento-datetime,url,data-type,status,1,2,memento-url,filename
84,"com,twitter)/an_cabraal/status/1324956732964081665",20210501223115,https://twitter.com/an_cabraal/status/1324956732964081665,text/html,200,BTO3YNLKGSQ7PAN4C7NJGEF4RIVTOV7T,12515,https://web.archive.org/web/20210501223115/https://twitter.com/an_cabraal/status/1324956732964081665,status-1324956732964081665-20210501223115.html
85,"com,twitter)/an_cabraal/status/1325046768011255809",20201107120555,https://twitter.com/an_cabraal/status/1325046768011255809,text/html,200,ZOUBPCSDZ476T7LK2OFZRDE6NMVF6SO6,2311,https://web.archive.org/web/20201107120555/https://twitter.com/an_cabraal/status/1325046768011255809,status-1325046768011255809-20201107120555.html
86,"com,twitter)/an_cabraal/status/1325094393955540993",20201107151528,https://twitter.com/an_cabraal/status/1325094393955540993,text/html,200,6Q6CMYH2ZEO3N3YIMEDAHHZLZB3OU24G,2489,https://web.archive.org/web/20201107151528/https://twitter.com/an_cabraal/status/1325094393955540993,status-1325094393955540993-20201107151528.html
87,"com,twitter)/an_cabraal/status/1325095029631709186",20201107151751,https://twitter.com/an_cabraal/status/1325095029631709186,text/html,200,2XU6HWFMHC4HLY4HAOBIARFFOEVNLV2V,3567,https://web.archive.org/web/20201107151751/https://twitter.com/an_cabraal/status/1325095029631709186,status-1325095029631709186-20201107151751.html
88,"com,twitter)/an_cabraal/status/1325095045687488513",20201107151807,https://twitter.com/an_cabraal/status/1325095045687488513,text/html,200,V6AA5MCBCEUFSYIYPNQKUCCNLSC744NY,3422,https://web.archive.org/web/20201107151807/https://twitter.com/an_cabraal/status/1325095045687488513,status-1325095045687488513-20201107151807.html
89,"com,twitter)/an_cabraal/status/1325095774791757824",20201107152049,https://twitter.com/an_cabraal/status/1325095774791757824,text/html,200,MSTGKJ2HGRN472RLSJFSNG6CSKN7TV6U,3592,https://web.archive.org/web/20201107152049/https://twitter.com/an_cabraal/status/1325095774791757824,status-1325095774791757824-20201107152049.html
90,"com,twitter)/an_cabraal/status/1325095777794863104",20201107152056,https://twitter.com/an_cabraal/status/1325095777794863104,text/html,200,H37SAT6NMSGZUCK7Y46YPOGTWOCTP2CS,3289,https://web.archive.org/web/20201107152056/https://twitter.com/an_cabraal/status/1325095777794863104,status-1325095777794863104-20201107152056.html
91,"com,twitter)/an_cabraal/status/1325323505387253760",20201108062521,https://twitter.com/an_cabraal/status/1325323505387253760,application/json,-,M6PEFVKOVXSARV6FDWCG4R4E2CXYXD4G,1573,https://web.archive.org/web/20201108062521/https://twitter.com/an_cabraal/status/1325323505387253760,status-1325323505387253760-20201108062521.json
92,"com,twitter)/an_cabraal/status/1325323505387253760",20201108062521,https://twitter.com/an_cabraal/status/1325323505387253760,application/json,-,M6PEFVKOVXSARV6FDWCG4R4E2CXYXD4G,1573,https://web.archive.org/web/20201108062521/https://twitter.com/an_cabraal/status/1325323505387253760,status-1325323505387253760-20201108062521.json
93,"com,twitter)/an_cabraal/status/1325323505387253760",20201108062535,https://twitter.com/an_cabraal/status/1325323505387253760,text/html,200,WOJIX7VYW5LPJJUHPM6DTYIBWKS62YLO,2008,https://web.archive.org/web/20201108062535/https://twitter.com/an_cabraal/status/1325323505387253760,status-1325323505387253760-20201108062535.html
